@relation 'unknown-weka.filters.unsupervised.attribute.Remove-R3,5,10-12'

@attribute confidentiality {yes,no}
@attribute integrity {yes,no}
@attribute availability {yes,no}
@attribute ' identification & authentication' {yes,no}
@attribute accountability {yes,no}
@attribute privacy {yes,no}
@attribute documentID string
@attribute sentence string

@data
no,no,no,no,no,no,oscar_requests,'minimum testing requirement process'
no,no,no,no,no,no,oscar_requests,------------------------------------
no,yes,no,no,no,no,oscar_requests,'make sure generate link be properly open window new'
no,no,no,no,no,no,oscar_requests,'support training requirement to change'
no,no,no,no,no,no,oscar_requests,----------------------------------------
no,no,no,no,no,no,oscar_requests,non
no,no,no,no,no,no,oscar_requests,'time estimate'
no,no,no,no,no,no,oscar_requests,-------------
no,no,no,no,no,no,oscar_requests,'------------- hour'
yes,no,no,no,no,no,oscar_requests,'autocomplete provider list search when inbox'
no,no,no,no,no,no,oscar_requests,'oscar change request v1 .2'
no,no,no,no,no,no,oscar_requests,'= = = = = = = = = = = = = = = = = = = = = = = = ='
no,no,no,no,no,no,oscar_requests,'change description include benefit'
no,no,no,no,no,no,oscar_requests,-----------------------------------
yes,no,no,no,yes,no,oscar_requests,'provide of instead have unwieldy list provider name search when lab inbox auto-completion list name user type'
no,no,no,no,no,no,oscar_requests,'make this will easier it look to up inbox someone rather have scroll to hundred name'
no,no,no,no,no,no,oscar_requests,'oscar interaction point'
no,no,no,no,no,no,oscar_requests,------------------------
no,no,no,no,no,no,oscar_requests,'inbox lab search'
no,no,no,no,no,no,oscar_requests,'integration risk'
no,no,no,no,no,no,oscar_requests,-----------------
no,no,no,no,no,no,oscar_requests,'not applicable'
no,no,no,no,no,no,oscar_requests,'risk incorporate if not'
no,no,no,no,no,no,oscar_requests,------------------------
no,no,no,no,no,no,oscar_requests,'search cumbersome functionality remain'
no,no,no,no,no,no,oscar_requests,'minimum testing requirement process'
no,no,no,no,no,no,oscar_requests,------------------------------------
no,no,no,no,no,no,oscar_requests,'actual inbox auto-completed name sure make be present'
no,no,no,no,no,no,oscar_requests,'support training requirement to change'
no,no,no,no,no,no,oscar_requests,----------------------------------------
no,no,no,no,no,no,oscar_requests,'oscar message outline search how to provider'
no,no,no,no,no,no,oscar_requests,'time estimate'
no,no,no,no,no,no,oscar_requests,-------------
no,no,no,no,no,no,oscar_requests,'------------- day'
yes,no,no,no,yes,no,oscar_requests,'autocomplete provider list search when inbox'
no,no,no,no,no,no,oscar_requests,'oscar change request v1 .2'
no,no,no,no,no,no,oscar_requests,'= = = = = = = = = = = = = = = = = = = = = = = = ='
no,no,no,no,no,no,oscar_requests,'change description include benefit'
no,no,no,no,no,no,oscar_requests,-----------------------------------
yes,no,no,no,yes,no,oscar_requests,'provide of instead have unwieldy list provider name search when lab inbox auto-completion list name user type'
no,no,no,no,no,no,oscar_requests,'make this will easier it look to up inbox someone rather have scroll to hundred name'
no,no,no,no,no,no,oscar_requests,'oscar interaction point'
no,no,no,no,no,no,oscar_requests,------------------------
no,no,no,no,no,no,oscar_requests,'inbox lab search'
no,no,no,no,no,no,oscar_requests,'integration risk'
no,no,no,no,no,no,oscar_requests,-----------------
no,no,no,no,no,no,oscar_requests,'not applicable'
no,no,no,no,no,no,oscar_requests,'risk incorporate if not'
no,no,no,no,no,no,oscar_requests,------------------------
no,no,no,no,no,no,oscar_requests,'search cumbersome functionality remain'
no,no,no,no,no,no,oscar_requests,'minimum testing requirement process'
no,no,no,no,no,no,oscar_requests,------------------------------------
no,no,no,no,no,no,oscar_requests,'actual inbox auto-completed name sure make be present'
no,no,no,no,no,no,oscar_requests,'support training requirement to change'
no,no,no,no,no,no,oscar_requests,----------------------------------------
yes,no,no,no,yes,no,oscar_requests,'oscar message outline search how to provider'
no,no,no,no,no,no,oscar_requests,'time estimate'
no,no,no,no,no,no,oscar_requests,-------------
no,no,no,no,no,no,oscar_requests,'------------- day'
no,no,no,no,no,no,oscar_requests,'tag entity phi interface'
no,no,no,no,no,no,oscar_requests,'oscar change request v1 .2'
no,no,no,no,no,no,oscar_requests,'= = = = = = = = = = = = = = = = = = = = = = = = ='
no,no,no,no,no,no,oscar_requests,'change description include benefit'
no,no,no,no,no,no,oscar_requests,-----------------------------------
no,no,no,no,no,no,oscar_requests,'create interface new call phi'
no,no,no,no,no,no,oscar_requests,'phi interface contract will be persist all implement datum element must consider if they be personal health datum'
no,no,no,no,no,no,oscar_requests,'implement it will method follow'
no,no,no,no,no,no,oscar_requests,'getdemographicno patient identifier'
no,no,no,no,no,no,oscar_requests,'getproviderno datum provider author who'
no,no,no,no,no,no,oscar_requests,'help this will auditing dependency be consent module we'
no,no,no,no,no,no,oscar_requests,'oscar interaction point'
no,no,no,no,no,no,oscar_requests,------------------------
no,no,no,no,no,no,oscar_requests,'jpa layer'
yes,yes,no,no,no,no,oscar_requests,'determine comb jpa all entity oscar phi which be fix incomformance any etc.'
no,no,no,no,no,no,oscar_requests,'integration risk'
no,no,no,no,no,no,oscar_requests,-----------------
yes,no,no,no,no,no,oscar_requests,'think i most entity phi that be have would issue no fulfil contract propose we be'
no,no,no,no,no,no,oscar_requests,'risk incorporate if not'
no,no,no,no,no,no,oscar_requests,------------------------
yes,no,no,no,no,no,oscar_requests,'be currently there way no reasonable determine to phi what datum system be'
no,no,no,no,no,no,oscar_requests,'problem this be auditing standard technilogical point view'
no,no,no,no,no,no,oscar_requests,'need we able to be write to generic consent layer'
yes,no,no,no,yes,no,oscar_requests,'see pipeline check to deliver if datum should be datum requestor necessary change this be that'
no,no,no,no,no,no,oscar_requests,'minimum testing requirement process'
no,no,no,no,no,no,oscar_requests,------------------------------------
no,no,no,no,no,no,oscar_requests,'need unit test will pass to'
no,no,no,no,no,no,oscar_requests,'support training requirement to change'
no,no,no,no,no,no,oscar_requests,----------------------------------------
no,no,no,no,no,no,oscar_requests,none
no,no,no,no,no,no,oscar_requests,'time estimate'
no,no,no,no,no,no,oscar_requests,-------------
no,no,no,no,no,no,oscar_requests,vary
no,no,no,no,no,no,oscar_requests,'3-5 day'
yes,yes,no,no,yes,no,oscar_requests,'unable integrator distinguish to home versus remote clinic'
no,no,no,no,no,no,oscar_requests,'clinic emr specification describe on .0 v4 https:\\/\\/wwwzdotzontariomdzdotzca\\/portal\\/serverzdotzpt\\/gateway\\/ptargs_0_3876_0_0_18\\/emr_specification_v40_appendix\%20a_final_jan172011zdotzpdf page 67 remote concept a home clinic versus a'
yes,yes,no,no,yes,no,oscar_requests,'be there implementation no concept this integrator software so impossible it be oscar conform to requirement various 2.1.1 for example require a feature allow that remote clinic update to demographic information clinic home'
no,no,yes,no,no,no,oscar_requests,'send oscar do not datum integrator enough often'
yes,no,yes,no,no,no,oscar_requests,'emr specification v4 .0 https:\\/\\/wwwzdotzontariomdzdotzca\\/portal\\/serverzdotzpt\\/gateway\\/ptargs_0_3876_0_0_18\\/emr_specification_v40_appendix\%20a_final_jan172011zdotzpdf clarify requirement 2.5.1 c b 2.5.1 2.5.2 require all become that datum record that be remote system available home clinic minute 30'
no,no,no,no,no,no,oscar_requests,'43200000m however length default time push task define integrator_update_period oscar_mcmasterzdotzproperties be hour which be 12'
no,no,no,no,no,no,oscar_requests,'implement conformancetesthelper integrator function many'
no,no,no,no,no,no,oscar_requests,'develop conformancetesthelper class be implement to many function require that be validation cms v4 .0'
no,no,no,no,no,no,oscar_requests,'migrate however time that none feature class that have be permanent location meet oscar be not therefore requirement set out specification https:\\/\\/wwwzdotzontariomdzdotzca\\/portal\\/serverzdotzpt\\/gateway\\/ptargs_0_3876_0_0_18\\/emr_specification_v40_appendix\%20a_final_jan172011zdotzpdf document'
no,no,no,no,no,no,oscar_requests,'false default flag enable that feature these enable_conformance_only_features be'
yes,yes,no,no,yes,no,oscar_requests,'implement demographiceditdemographiczdotzjsp button several compare integrator latest update integrate demographic information send note integrate provider clarify one final be requirement 2.1.9 a'
yes,yes,no,no,yes,no,oscar_requests,'push caisiintegratorupdatetask demographic all enable if conformance feature test only be'
yes,yes,no,no,yes,no,oscar_requests,'call storedocumentindatabase addeditdocumentactionzdotzadddocument be enable if conformance feature test only be'
no,no,yes,no,no,no,oscar_requests,'take integrator push task long too fail scale to well'
no,no,yes,no,no,no,oscar_requests,'lack of design integrator both integrator push task oscar there be ability server scale support large database demographic datum well'
no,no,no,no,no,no,oscar_requests,'for example'
yes,yes,yes,no,yes,no,oscar_requests,'for example call type every datum demographic every send to web service separate make be integrator server be case document there call web service separate every document be there significant overhead connection every individual even for small amount datum'
yes,yes,yes,no,yes,no,oscar_requests,'write for example eventlog database table server integrator be to too far frequently'
no,no,yes,no,no,no,oscar_requests,'grow system have that large number simultaneous oscar connection table this can size measure gigabyte several day'
no,yes,yes,no,yes,no,oscar_requests,'cancel be if there exception throw integrator push task type certain datum entire push task be lack exception handling appropriate'
yes,yes,no,no,yes,no,oscar_requests,'be there issue return where list demographic send to be always entire list demographic admit facility default admit patient facility other send than facility available that be loggedininfozdotzcurrentfacility be never'
no,no,no,no,no,no,oscar_requests,'inventory management module'
no,no,no,no,no,no,oscar_requests,'oscar change request v1 .2'
no,no,no,no,no,no,oscar_requests,'= = = = = = = = = = = = = = = = = = = = = = = = ='
no,no,no,no,no,no,oscar_requests,'change description include benefit'
no,no,no,no,no,no,oscar_requests,-----------------------------------
no,no,no,no,no,no,oscar_requests,'link follow feature sourceforge feature request id 3606566 # dispensing information'
no,no,no,no,no,no,oscar_requests,'need we create to full-functioning inventory management module include that would feature follow'
yes,yes,no,no,yes,no,oscar_requests,'need we create to full-functioning inventory management module include that would feature follow need able to be track to enter remove transfer inventory item all medication supplies medical etc central location outer clinic and back'
no,no,no,no,no,no,oscar_requests,'then clinic each would have tracking system all item each location they'
no,no,no,yes,yes,no,oscar_requests,'need specifically we track to information follow'
no,no,no,no,no,no,oscar_requests,o
no,no,no,no,no,no,oscar_requests,'item name'
no,no,no,no,no,no,oscar_requests,o
no,no,no,no,no,no,oscar_requests,'item description'
no,no,no,no,no,no,oscar_requests,o
no,no,no,no,no,no,oscar_requests,'lot number'
no,no,no,no,no,no,oscar_requests,o
no,no,no,no,no,no,oscar_requests,'expiry date'
no,no,no,no,no,no,oscar_requests,o
no,no,no,no,no,no,oscar_requests,'pricing information purchase price sale price'
no,no,no,no,no,no,oscar_requests,o
no,no,no,no,no,no,oscar_requests,'minimum inventory level re-order'
yes,no,no,no,yes,no,oscar_requests,'run report inventory status location each report well as as to history sale transfer location each'
no,yes,no,no,yes,no,oscar_requests,'like we would create to electronic inventory order system oscar request that can fill item location each automatically adjust amount inventory system location each'
yes,yes,no,no,yes,no,oscar_requests,'need we link to prescription in-house section dispense inventory module also so that dispense when medication be in-house then related inventory item will deplete clinic ™ on-site inventory amount that same product same'
no,no,no,no,no,no,oscar_requests,'like we would have to also option have to barcode scanning ability ability create to print bar-code label we own need as'
no,no,no,no,no,no,oscar_requests,'oscar interaction point'
no,no,no,no,no,no,oscar_requests,------------------------
no,no,no,no,no,no,oscar_requests,'inventory dispensing prescription'
no,no,no,no,no,no,oscar_requests,'integration risk'
no,no,no,no,no,no,oscar_requests,-----------------
no,no,no,no,no,no,oscar_requests,tbd
no,no,no,no,no,no,oscar_requests,'risk incorporate if not'
no,no,no,no,no,no,oscar_requests,------------------------
yes,no,no,no,yes,no,oscar_requests,'have implement when oscar be clinic we we will track to inventory manually practice which be not sustained that can be not will have ability any report information necessary mandatory transfer stock level result which could revenue lose item expire use'
no,no,no,no,no,no,oscar_requests,'minimum testing requirement process'
no,no,no,no,no,no,oscar_requests,------------------------------------
no,no,no,no,no,no,oscar_requests,'do uat will be hamilton public health'
no,no,no,no,no,no,oscar_requests,'support training requirement to change'
no,no,no,no,no,no,oscar_requests,----------------------------------------
no,no,no,no,no,no,oscar_requests,'update manual'
no,no,no,no,no,no,oscar_requests,'time estimate'
no,no,no,no,no,no,oscar_requests,-------------
no,no,no,no,no,no,oscar_requests,tbd
no,no,no,no,no,no,oscar_requests,'billing template default user current'
no,no,no,no,no,no,oscar_requests,'oscar change request v1 .2'
no,no,no,no,no,no,oscar_requests,'= = = = = = = = = = = = = = = = = = = = = = = = ='
no,no,no,no,no,no,oscar_requests,'change description include benefit'
no,no,no,no,no,no,oscar_requests,-----------------------------------
yes,no,no,yes,yes,no,oscar_requests,'we would able be have to billing template view default show dependent user log in fill it in at time'
yes,no,no,yes,yes,no,oscar_requests,'open physician would billing section code view they default would be physician ohip default open when nurse billing section it would be billing sheet they specific'
no,no,no,no,no,no,oscar_requests,'oscar interaction point'
no,no,no,no,no,no,oscar_requests,------------------------
no,no,no,no,no,no,oscar_requests,billing
no,no,no,no,no,no,oscar_requests,'integration risk'
no,no,no,no,no,no,oscar_requests,-----------------
no,no,no,no,no,no,oscar_requests,tbd
no,no,no,no,no,no,oscar_requests,'risk incorporate if not'
no,no,no,no,no,no,oscar_requests,------------------------
no,no,no,no,no,no,oscar_requests,'help risk not many this will save to time staff try find to billing form they specific pull-down list'
no,no,no,no,no,no,oscar_requests,'minimum testing requirement process'
no,no,no,no,no,no,oscar_requests,------------------------------------
no,no,no,no,no,no,oscar_requests,'do uat will be hamilton public health'
no,no,no,no,no,no,oscar_requests,'support training requirement to change'
no,no,no,no,no,no,oscar_requests,----------------------------------------
no,no,no,no,no,no,oscar_requests,'update manual'
no,no,no,no,no,no,oscar_requests,'time estimate'
no,no,no,no,no,no,oscar_requests,-------------
no,no,no,no,no,no,oscar_requests,tbd
no,no,no,no,no,no,oscar_requests,'colour change prevention result normal versusabnormal'
no,no,no,no,no,no,oscar_requests,'oscar change request v1 .2'
no,no,no,no,no,no,oscar_requests,'= = = = = = = = = = = = = = = = = = = = = = = = ='
no,no,no,no,no,no,oscar_requests,'change description include benefit'
no,no,no,no,no,no,oscar_requests,-----------------------------------
yes,no,no,no,no,no,oscar_requests,'show currently test all complete show preventions area result as gray light regardless be normal be abnormal'
yes,no,no,no,yes,no,oscar_requests,'need we able to be see to at-a-glance normal if result be abnormal colour-code result these differently ie'
no,no,no,no,no,no,oscar_requests,'normal show show gray abnormal red'
no,no,no,no,no,no,oscar_requests,'oscar interaction point'
no,no,no,no,no,no,oscar_requests,------------------------
no,no,no,no,no,no,oscar_requests,prevention
no,no,no,no,no,no,oscar_requests,'integration risk'
no,no,no,no,no,no,oscar_requests,-----------------
no,no,no,no,no,no,oscar_requests,tbd
no,no,no,no,no,no,oscar_requests,'risk incorporate if not'
no,no,no,no,no,no,oscar_requests,------------------------
yes,no,no,no,yes,no,oscar_requests,'important it be very staff see to result history test at-a-glance have open to item each determine to result'
no,no,no,no,no,no,oscar_requests,'time-consuming it will be very have to do to this'
no,no,no,no,no,no,oscar_requests,'minimum testing requirement process'
no,no,no,no,no,no,oscar_requests,------------------------------------
no,no,no,no,no,no,oscar_requests,'do uat will be hamilton public health'
no,no,no,no,no,no,oscar_requests,'support training requirement to change'
no,no,no,no,no,no,oscar_requests,----------------------------------------
no,no,no,no,no,no,oscar_requests,'update manual'
no,no,no,no,no,no,oscar_requests,'time estimate'
no,no,no,no,no,no,oscar_requests,-------------
no,no,no,no,no,no,oscar_requests,tbd
no,no,no,no,no,no,oscar_requests,'customize prevention list alphabetize'
no,no,no,no,no,no,oscar_requests,'oscar change request v1 .2'
no,no,no,no,no,no,oscar_requests,'= = = = = = = = = = = = = = = = = = = = = = = = ='
no,no,no,no,no,no,oscar_requests,'change description include benefit'
no,no,no,no,no,no,oscar_requests,-----------------------------------
yes,no,no,no,yes,no,oscar_requests,'like we would customize to preventions section show to only item specific that be related program i.e. sexual health option testing immunization'
no,no,no,no,no,no,oscar_requests,'need we also have to list alphabetize difficult as it be extremely find to item format when this be not'
yes,yes,no,no,yes,no,oscar_requests,'also we would like have to easy way add to remove item list this prefer we would access that we could this administration area this programming be only item'
no,no,no,no,no,no,oscar_requests,'oscar interaction point'
no,no,no,no,no,no,oscar_requests,------------------------
no,no,no,no,no,no,oscar_requests,prevention
no,no,no,no,no,no,oscar_requests,'integration risk'
no,no,no,no,no,no,oscar_requests,-----------------
no,no,no,no,no,no,oscar_requests,tbd
no,no,no,no,no,no,oscar_requests,'risk incorporate if not'
no,no,no,no,no,no,oscar_requests,------------------------
no,yes,no,no,yes,no,oscar_requests,'reflect choose incorrect option could be item some closely other word be how differently than phrase item clinic we we'
no,no,no,no,no,no,oscar_requests,'minimum testing requirement process'
no,no,no,no,no,no,oscar_requests,------------------------------------
no,no,no,no,no,no,oscar_requests,'do uat will be hamilton public health'
no,no,no,no,no,no,oscar_requests,'support training requirement to change'
no,no,no,no,no,no,oscar_requests,----------------------------------------
no,no,no,no,no,no,oscar_requests,'update manual'
no,no,no,no,no,no,oscar_requests,'time estimate'
no,no,no,no,no,no,oscar_requests,-------------
no,no,no,no,no,no,oscar_requests,tbd
no,no,no,no,no,no,oscar_requests,'e-form auto-populate preventions section'
no,no,no,no,no,no,oscar_requests,'oscar change request v1 .2'
no,no,no,no,no,no,oscar_requests,'= = = = = = = = = = = = = = = = = = = = = = = = ='
no,no,no,no,no,no,oscar_requests,'change description include benefit'
no,no,no,no,no,no,oscar_requests,-----------------------------------
yes,yes,no,no,yes,no,oscar_requests,'need have to functionality auto-populate item e-form directly preventions section way same auto-populate that e-form can measurement'
yes,yes,no,no,yes,no,oscar_requests,'entail this will obtain that when specimen certain be client in-house lab processing create that detail these then when check e-form will automatically prevention item new prevention section have staff open to physically section this add prevention new themselves'
no,no,no,no,no,no,oscar_requests,'oscar interaction point'
no,no,no,no,no,no,oscar_requests,------------------------
no,no,no,no,no,no,oscar_requests,'e-form prevention'
no,no,no,no,no,no,oscar_requests,'integration risk'
no,no,no,no,no,no,oscar_requests,-----------------
no,no,no,no,no,no,oscar_requests,tbd
no,no,no,no,no,no,oscar_requests,'risk incorporate if not'
no,no,no,no,no,no,oscar_requests,------------------------
yes,yes,no,no,yes,no,oscar_requests,'try we be minimize to spend time chart have with client staff enter to duplicate information numerous area client chart'
no,no,no,no,no,no,oscar_requests,'need we eliminate to duplication this altogether'
no,no,no,no,no,no,oscar_requests,'minimum testing requirement process'
no,no,no,no,no,no,oscar_requests,------------------------------------
no,no,no,no,no,no,oscar_requests,'do uat will be hamilton public health'
no,no,no,no,no,no,oscar_requests,'support training requirement to change'
no,no,no,no,no,no,oscar_requests,----------------------------------------
no,no,no,no,no,no,oscar_requests,'update manual'
no,no,no,no,no,no,oscar_requests,'time estimate'
no,no,no,no,no,no,oscar_requests,-------------
no,no,no,no,no,no,oscar_requests,tbd
no,no,no,no,no,no,oscar_requests,'paper chart archive indicator'
no,no,no,no,no,no,oscar_requests,'oscar change request v1 .2'
no,no,no,no,no,no,oscar_requests,'= = = = = = = = = = = = = = = = = = = = = = = = ='
no,no,no,no,no,no,oscar_requests,'change description include benefit'
no,no,no,no,no,no,oscar_requests,-----------------------------------
yes,yes,no,no,yes,no,oscar_requests,'need move paper record full electronic record we will have to way track to archive which paper chart have be cold storage do date what this be'
yes,yes,no,no,yes,no,oscar_requests,'archive paper chart will be ™ after client visit first clinic implement once oscar have be after year 2 inactivity come whichever first'
yes,yes,no,no,yes,no,oscar_requests,'also we will need able to be run to report detail these follow as'
no,no,no,no,yes,no,oscar_requests,'archive yes'
no,no,no,no,yes,no,oscar_requests,'archive clinic location which it be from'
no,no,no,no,yes,no,oscar_requests,'# paper chart id assign enter to be manually staff'
no,no,no,no,yes,no,oscar_requests,'client name'
no,no,no,no,yes,no,oscar_requests,'client dob'
yes,yes,no,no,yes,no,oscar_requests,'visit date last enter to be staff manually be and'
yes,yes,no,no,yes,no,oscar_requests,'have date archive enter to be manually staff maybe calendar option field this'
no,no,no,no,no,no,oscar_requests,'oscar interaction point'
no,no,no,no,no,no,oscar_requests,------------------------
yes,no,no,no,no,no,oscar_requests,'client detail demographic screen view oscar'
no,no,no,no,no,no,oscar_requests,'integration risk'
no,no,no,no,no,no,oscar_requests,-----------------
no,no,no,no,no,no,oscar_requests,tbd
no,no,no,no,no,no,oscar_requests,'risk incorporate if not'
no,no,no,no,no,no,oscar_requests,------------------------
yes,yes,yes,no,yes,no,oscar_requests,'require we be able to be track to information specific storage chart archived cold store as they be off-site need may retrieve to be future'
yes,yes,no,no,yes,no,oscar_requests,'allow above report creation will obtain we to information require process this involve which can archiving thousand paper chart year'
no,no,no,no,no,no,oscar_requests,'minimum testing requirement process'
no,no,no,no,no,no,oscar_requests,------------------------------------
no,no,no,no,no,no,oscar_requests,'do uat will be hamilton public health'
no,no,no,no,no,no,oscar_requests,'support training requirement to change'
no,no,no,no,no,no,oscar_requests,----------------------------------------
no,no,no,no,no,no,oscar_requests,'update manual'
no,no,no,no,no,no,oscar_requests,'time estimate'
no,no,no,no,no,no,oscar_requests,-------------
no,no,no,no,no,no,oscar_requests,tbd
no,no,no,no,no,no,oscar_requests,'e-form auto-populate prescriptions section'
no,no,no,no,no,no,oscar_requests,'oscar change request v1 .2'
no,no,no,no,no,no,oscar_requests,'= = = = = = = = = = = = = = = = = = = = = = = = ='
no,no,no,no,no,no,oscar_requests,'change description include benefit'
no,no,no,no,no,no,oscar_requests,-----------------------------------
yes,yes,no,no,yes,no,oscar_requests,'need have to functionality auto-populate item e-form directly prescriptions section way same auto-populate that e-form can measurement'
yes,yes,no,no,yes,no,oscar_requests,'entail this will dispense that when medication certain be in-house client create that detail these then when check e-form will automatically prescription new prescription section have staff open to physically section this add prescription new themselves'
no,no,no,no,no,no,oscar_requests,'oscar interaction point'
no,no,no,no,no,no,oscar_requests,------------------------
no,no,no,no,no,no,oscar_requests,'e-form prescription'
no,no,no,no,no,no,oscar_requests,'integration risk'
no,no,no,no,no,no,oscar_requests,-----------------
no,no,no,no,no,no,oscar_requests,tbd
no,no,no,no,no,no,oscar_requests,'risk incorporate if not'
no,no,no,no,no,no,oscar_requests,------------------------
yes,yes,no,no,yes,no,oscar_requests,'try we be minimize to spend time chart have with client staff enter to duplicate information numerous area client chart'
no,no,no,no,no,no,oscar_requests,'need we eliminate to duplication this altogether'
no,no,no,no,no,no,oscar_requests,'minimum testing requirement process'
no,no,no,no,no,no,oscar_requests,------------------------------------
no,no,no,no,no,no,oscar_requests,'do uat will be hamilton public health'
no,no,no,no,no,no,oscar_requests,'support training requirement to change'
no,no,no,no,no,no,oscar_requests,----------------------------------------
no,no,no,no,no,no,oscar_requests,'update manual'
no,no,no,no,no,no,oscar_requests,'time estimate'
no,no,no,no,no,no,oscar_requests,-------------
no,no,no,no,no,no,oscar_requests,tbd
yes,yes,no,no,yes,no,oscar_requests,'add item appointment history'
no,no,no,no,no,no,oscar_requests,'oscar change request v1 .2'
no,no,no,no,no,no,oscar_requests,'= = = = = = = = = = = = = = = = = = = = = = = = ='
no,no,no,no,no,no,oscar_requests,'change description include benefit'
no,no,no,no,no,no,oscar_requests,-----------------------------------
yes,yes,no,no,yes,no,oscar_requests,'show appointment history page do not appointment status a type b appointment or b delete appointment'
no,no,no,no,no,no,oscar_requests,'like we would include to item these'
no,no,no,no,no,no,oscar_requests,'oscar interaction point'
no,no,no,no,no,no,oscar_requests,------------------------
no,no,no,no,no,no,oscar_requests,'history page'
no,no,no,no,no,no,oscar_requests,'integration risk'
no,no,no,no,no,no,oscar_requests,-----------------
no,no,no,no,no,no,oscar_requests,'risk incorporate if not'
no,no,no,no,no,no,oscar_requests,------------------------
yes,yes,no,no,yes,no,oscar_requests,'require client information more appt previous deleted make custom report'
no,no,no,no,no,no,oscar_requests,'minimum testing requirement process'
no,no,no,no,no,no,oscar_requests,------------------------------------
no,no,no,no,no,no,oscar_requests,'show make sure column new right information'
no,no,no,no,no,no,oscar_requests,'make sure show delete checkbox work'
no,no,no,no,no,no,oscar_requests,'support training requirement to change'
no,no,no,no,no,no,oscar_requests,----------------------------------------
